Ligand0,Receptor0,z_pval,z,perm_pval,fdr,selected
PTPRC,MRC1,0.0,133.66559325594054,0.0,0.0,True
CD80,CD274,4.9288942093395066e-160,26.929721755598905,0.0,0.0,True
CD80,CTLA4,1.0206537209767386e-151,26.210050508339748,0.0,0.0,True
CD86,CTLA4,1.7058465320059157e-263,34.657770461431,0.0,0.0,True
CDH1,CDH1,0.0,512.4229053361157,0.0,0.0,True
CD69,KLRB1,0.0,76.66293380369447,0.0,0.0,True
PECAM1,PECAM1,0.0,404.6723459851869,0.0,0.0,True
NCAM1,NCAM1,0.0,191.35463888981317,0.0,0.0,True
PTN,SDC4,1.0,-21.420419138761506,1.0,1.0,False
CXCL12,CXCR4,1.0,-18.73134076720465,1.0,1.0,False
