Ligand0,Receptor0,z_pval,z,perm_pval,fdr,selected
PTPRC,MRC1,0.0,125.45348814067552,0.0,0.0,True
CD80,CD274,2.981796918053633e-225,32.01883457972919,0.0,0.0,True
CD80,CTLA4,1.794934734165137e-140,25.204341750540554,0.0,0.0,True
CD86,CTLA4,1.967955929378312e-206,30.637014337511864,0.0,0.0,True
CDH1,CDH1,0.0,491.33935285481107,0.0,0.0,True
CD69,KLRB1,0.0,70.31351637404778,0.0,0.0,True
PECAM1,PECAM1,0.0,366.3876829473647,0.0,0.0,True
NCAM1,NCAM1,0.0,182.3672539800143,0.0,0.0,True
PTN,SDC4,1.0,-19.368363956657873,1.0,1.0,False
CXCL12,CXCR4,1.0,-71.51183668669903,1.0,1.0,False
