Ligand0,Receptor0,Receptor1,z_pval,z,perm_pval,fdr,selected
HLA-A,CD8A,,0.0,75.92900231973385,0.0,0.0,True
SPP1,CD44,,0.0,422.18201451230783,0.0,0.0,True
TNFSF13,TNFRSF13B,,0.0,240.64165831495924,0.0,0.0,True
CCL22,CCR4,,0.0,374.52112293259927,0.0,0.0,True
CSF1,CSF1R,,0.0,387.48919416117127,0.0,0.0,True
IL15,IL15RA,IL2RG,0.0,50.8266491655488,0.0,0.0,True
EREG,ERBB2,,0.0,1035.5261884839574,0.0,0.0,True
EREG,EGFR,ERBB2,0.0,1161.0421393560807,0.0,0.0,True
EREG,EGFR,,0.0,1053.3766550692337,0.0,0.0,True
AREG,EGFR,ERBB2,0.0,129.08176903336945,0.0,0.0,True
AREG,EGFR,,0.0,101.61138846822448,0.0,0.0,True
EGF,EGFR,ERBB2,1.403860444541008e-121,23.41791260293845,0.0,0.0,True
CXCL3,CXCR1,,0.0,411.8323105441371,0.0,0.0,True
CXCL8,CXCR1,,0.0,620.8957853824595,0.0,0.0,True
CXCL16,CXCR6,,0.0,43.936327077693036,0.0,0.0,True
CXCL13,CXCR5,,0.0,1080.5257460413686,0.0,0.0,True
CXCL12,CXCR4,,0.0,215.25357963328182,0.0,0.0,True
CXCL13,CXCR3,,0.0,81.82857428307072,0.0,0.0,True
CXCL10,CXCR3,,0.0,59.42132749804537,0.0,0.0,True
CXCL9,CXCR3,,0.0,112.34602274928932,0.0,0.0,True
CXCL8,CXCR2,,0.0,733.6824744671569,0.0,0.0,True
CXCL3,CXCR2,,0.0,523.483960915677,0.0,0.0,True
CCL2,CCR2,,0.0,246.02808772774472,0.0,0.0,True
CCL3,CCR1,,0.0,680.5011416894346,0.0,0.0,True
CCL5,CCR1,,0.0,225.86498132499622,0.0,0.0,True
CCL19,CCR7,,0.0,809.8366094067592,0.0,0.0,True
CCL3,CCR5,,0.0,88.2285907300985,0.0,0.0,True
CCL5,CCR5,,0.0,250.11482943416195,0.0,0.0,True
CCL4,CCR5,,0.0,159.03342332445825,0.0,0.0,True
CCL5,CCR4,,0.0,194.6877945313372,0.0,0.0,True
FASLG,FAS,,0.0,50.58669638639905,0.0,0.0,True
GAS6,AXL,,0.0,392.07691680470333,0.0,0.0,True
CSF3,CSF3R,,0.0,87.175737826764,0.0,0.0,True
HLA-E,KLRD1,KLRC2,0.0,46.73271992590714,0.0,0.0,True
HLA-E,KLRC2,,2.832698474281366e-132,24.445161694619806,0.0,0.0,True
PECAM1,PECAM1,,0.0,1000.2975542035517,0.0,0.0,True
HLA-E,CD8A,,0.0,40.08863044216543,0.0,0.0,True
CDH1,CDH1,,0.0,1130.0404290092777,0.0,0.0,True
CD40LG,CD40,,1.06752865515888e-142,25.40654436636117,0.0,0.0,True
CDH2,CDH2,,0.0,510.17560709704594,0.0,0.0,True
HLA-E,KLRD1,,0.0,50.83181132191748,0.0,0.0,True
CD80,CTLA4,,0.0,93.28760978006876,0.0,0.0,True
CD80,CD274,,0.0,90.78660979678284,0.0,0.0,True
HLA-C,CD8A,,0.0,75.4937248990691,0.0,0.0,True
ICOSLG,CTLA4,,9.259709391660202e-263,34.608967690094005,0.0,0.0,True
ICOSLG,CD28,,0.0,97.87939142041044,0.0,0.0,True
ICOSLG,ICOS,,1.1808515442024869e-254,34.06588566110992,0.0,0.0,True
HLA-B,CD8A,,0.0,68.75726792841999,0.0,0.0,True
CD80,CD28,,0.0,88.80229043046867,0.0,0.0,True
HLA-E,KLRD1,,0.0,50.83181132191748,0.0,0.0,True
CCL17,CCR4,,0.0,235.73754944432002,0.0,0.0,True
HLA-A,CD8B,,0.0,57.5701776288464,0.0,0.0,True
NCAM1,NCAM1,,0.0,450.7970057643756,0.0,0.0,True
HLA-B,CD8B,,0.0,55.2138417197905,0.0,0.0,True
HLA-C,CD8B,,0.0,52.48081176437208,0.0,0.0,True
HLA-E,CD8B,,1.0463862149712232e-270,35.133281562163,0.0,0.0,True
HLA-DQA1,CD4,,0.0,838.4387826989326,0.0,0.0,True
HLA-DRB5,CD4,,0.0,734.5636127055927,0.0,0.0,True
HLA-DQA2,CD4,,0.0,252.8851496648294,0.0,0.0,True
HLA-DPA1,CD4,,0.0,621.1069684840863,0.0,0.0,True
HLA-DRA,CD4,,0.0,968.923104706452,0.0,0.0,True
EGF,EGFR,,1.0,-14.137253238889352,1.0,1.0,False
COL1A1,CD44,,1.0,-304.8807371772712,1.0,1.0,False
TNFSF13B,TNFRSF13B,,1.0,-163.72729486277953,1.0,1.0,False
IL1B,IL1R1,,1.0,-492.42500466497296,1.0,1.0,False
VEGFA,KDR,,1.0,-410.5972778258001,1.0,1.0,False
CCL5,CCR3,,1.0,-19.98600379898152,1.0,1.0,False
IGF1,IGF1R,,1.0,-617.6614571452702,1.0,1.0,False
VEGFA,KDR,,1.0,-410.5972778258001,1.0,1.0,False
CDH1,KLRG1,,4.2089718606797474e-16,8.04796874597055,1.0,1.0,False
IL2,IL2RG,,1.0,-11.765189800545404,1.0,1.0,False
IL2,IL2RG,,1.0,-11.765189800545404,1.0,1.0,False
HGF,MET,,1.0,-334.1513428964602,1.0,1.0,False
IL7,IL7R,IL2RG,1.0,-28.514596929362362,1.0,1.0,False
FN1,CD44,,1.0,-297.06836669563415,1.0,1.0,False
